Country,Clicks,Impressions,CTR,Position
Burkina Faso,0,24,0%,6.79
Andorra,0,24,0%,11.92
Turks & Caicos Islands,0,23,0%,6.52
Cayman Islands,0,23,0%,7
Turkmenistan,0,21,0%,3.43
Guernsey,0,21,0%,6.33
Gibraltar,0,19,0%,7.84
Jersey,0,18,0%,6.11
Timor-Leste,0,18,0%,6.72
Antigua & Barbuda,0,17,0%,4.88
Kiribati,0,16,0%,5
North Korea,0,16,0%,6.38
Mauritania,0,16,0%,7
St. Kitts & Nevis,0,16,0%,8
Congo - Brazzaville,0,16,0%,9.94
Vanuatu,0,15,0%,6.07
Bermuda,0,15,0%,7.93
Sint Maarten,0,15,0%,10.13
Dominica,0,14,0%,5.36
Benin,0,14,0%,6.36
Guadeloupe,0,14,0%,6.36
Mali,0,14,0%,9.21
Faroe Islands,0,12,0%,7.75
Marshall Islands,0,10,0%,4.8
Burundi,0,10,0%,6.3
American Samoa,0,10,0%,6.6
British Virgin Islands,0,10,0%,7.5
Lesotho,0,9,0%,8.89
Guinea,0,8,0%,7.38
Togo,0,8,0%,12.75
Palau,0,7,0%,5.43
Eritrea,0,7,0%,6.29
St. Vincent & Grenadines,0,7,0%,7.14
Réunion,0,7,0%,7.71
French Polynesia,0,6,0%,6.67
Cape Verde,0,6,0%,8
Western Sahara,0,6,0%,8.83
Niger,0,6,0%,9.83
French Guiana,0,6,0%,12.17
Caribbean Netherlands,0,5,0%,5.2
Solomon Islands,0,5,0%,6.4
Nauru,0,5,0%,7.6
Monaco,0,5,0%,10.4
Åland Islands,0,4,0%,3
Cook Islands,0,4,0%,7.5
Martinique,0,4,0%,7.5
Greenland,0,3,0%,4.67
San Marino,0,3,0%,6
Comoros,0,3,0%,6.33
Equatorial Guinea,0,3,0%,7
St. Martin,0,2,0%,2.5
Antarctica,0,2,0%,3.5
Tuvalu,0,2,0%,3.5
Djibouti,0,2,0%,5.5
Chad,0,2,0%,8.5
Norfolk Island,0,1,0%,1
Niue,0,1,0%,1
St. Barthélemy,0,1,0%,4
St. Helena,0,1,0%,7
St. Pierre & Miquelon,0,1,0%,7
Liechtenstein,0,1,0%,8
Anguilla,0,1,0%,9
Guinea-Bissau,0,1,0%,10
